
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
EC:23:3D:56:DD:48, 2014-05-01 12:36:36, 2014-05-01 13:30:37, 11,  54, WPA2, CCMP,PSK, -48,    31038,       85,   0.  0.  0.  0,  10, **Yolima**, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:12:2F:5C:BC:C5, 2014-05-01 12:49:37, 2014-05-01 12:50:24,   0,      772, EC:23:3D:56:DD:48,
00:69:E7:46:2E:52, 2014-05-01 12:45:13, 2014-05-01 12:45:13,   0,        4, EC:23:3D:56:DD:48,
00:70:E2:E6:20:C0, 2014-05-01 12:45:13, 2014-05-01 12:45:13,   0,        4, EC:23:3D:56:DD:48,
00:C4:22:5A:BC:C1, 2014-05-01 12:45:13, 2014-05-01 12:45:13,   0,        4, EC:23:3D:56:DD:48,
00:5B:3B:6C:76:89, 2014-05-01 12:45:13, 2014-05-01 12:45:13,   0,        4, EC:23:3D:56:DD:48,
00:1D:86:0C:1F:AB, 2014-05-01 12:45:13, 2014-05-01 12:45:13,   0,        4, EC:23:3D:56:DD:48,
00:B8:7F:99:95:37, 2014-05-01 12:45:13, 2014-05-01 12:45:13,   0,        4, EC:23:3D:56:DD:48,
00:C7:86:C5:6B:79, 2014-05-01 12:45:13, 2014-05-01 12:45:13,   0,        4, EC:23:3D:56:DD:48,
00:26:25:AF:DE:82, 2014-05-01 12:45:13, 2014-05-01 12:45:13,   0,        4, EC:23:3D:56:DD:48,
00:AC:D1:F8:9F:16, 2014-05-01 12:45:13, 2014-05-01 12:45:13,   0,        4, EC:23:3D:56:DD:48,
00:1C:C1:1A:4D:57, 2014-05-01 12:45:13, 2014-05-01 12:45:13,   0,        4, EC:23:3D:56:DD:48,
00:F1:D4:02:25:4F, 2014-05-01 12:45:12, 2014-05-01 12:45:13,   0,        4, EC:23:3D:56:DD:48,
00:14:20:DC:B8:84, 2014-05-01 12:45:12, 2014-05-01 12:45:12,   0,        4, EC:23:3D:56:DD:48,
00:A8:43:A4:F2:F3, 2014-05-01 12:45:12, 2014-05-01 12:45:12,   0,        4, EC:23:3D:56:DD:48,
00:85:99:B8:5D:17, 2014-05-01 12:45:12, 2014-05-01 12:45:12,   0,        4, EC:23:3D:56:DD:48,
00:83:A0:F3:45:2E, 2014-05-01 12:45:12, 2014-05-01 12:45:12,   0,        4, EC:23:3D:56:DD:48,
00:9B:CB:31:96:91, 2014-05-01 12:45:12, 2014-05-01 12:45:12,   0,        4, EC:23:3D:56:DD:48,
00:1C:7E:34:7B:1A, 2014-05-01 12:45:12, 2014-05-01 12:45:12,   0,        4, EC:23:3D:56:DD:48,
00:2E:E9:A4:63:14, 2014-05-01 12:45:12, 2014-05-01 12:45:12,   0,        4, EC:23:3D:56:DD:48,
00:E5:8C:4A:B0:70, 2014-05-01 12:45:12, 2014-05-01 12:45:12,   0,        4, EC:23:3D:56:DD:48,
00:53:8A:D8:7E:F0, 2014-05-01 12:45:12, 2014-05-01 12:45:12,   0,        4, EC:23:3D:56:DD:48,
00:0A:62:C2:8D:92, 2014-05-01 12:45:12, 2014-05-01 12:45:12,   0,        4, EC:23:3D:56:DD:48,
00:50:17:FB:C6:52, 2014-05-01 12:45:12, 2014-05-01 12:45:12,   0,        4, EC:23:3D:56:DD:48,
00:1A:20:5F:9C:67, 2014-05-01 12:45:12, 2014-05-01 12:45:12,   0,        4, EC:23:3D:56:DD:48,
00:39:34:35:2B:77, 2014-05-01 12:45:12, 2014-05-01 12:45:12,   0,        4, EC:23:3D:56:DD:48,
